id,Titel,Nachname,Vornamen,Geburtsjahr,Gruppenname,WahlkreisNr,LandId,Listenplatz,Jahr
4321.0,,Trittin,Jürgen,1954.0,GRÜNE,053,NI,2,2017.0
4322.0,Dr.,Troost,Axel,1954.0,DIE LINKE,154,SN,6,2017.0
4323.0,,Tropp,Michael,1960.0,EB: Tropp,138,,,2017.0
4324.0,,Truckenbrodt,Martin,1971.0,ÖDP,196,TH,2,2017.0
4325.0,,Trunz,David,1986.0,DIE LINKE,282,,,2017.0
4326.0,,Trzoska,Ronald,1978.0,BGE,,BY,2,2017.0
4327.0,,Tschammer-Osten,Georg Friedrich Alexander,1967.0,EB: Tschammer-Osten,015,,,2017.0
4328.0,,Tschan,Hansjörg,1966.0,EB: Tschan,215,,,2017.0
4329.0,,Tschernow,Sergej,1973.0,AfD,,NI,11,2017.0
4330.0,,Tschesnok,Benjamin Sebastian,1984.0,CDU,,HE,26,2017.0
4331.0,,Tuncer,Cengiz,1970.0,DIE LINKE,253,,,2017.0
4332.0,,Tünker,Olaf,1966.0,AfD,135,,,2017.0
4333.0,,Türker,Mahmut,1967.0,FDP,,BY,29,2017.0
